,date,url_match,left_rounds_seq,right_rounds_seq
32,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141065/ec-kyiv-vs-vpprodigy,"['1-0', '2-0', '3-0', '', '4-1', '', '5-2', '6-2', '7-2', '8-2', '9-2', '', '', '10-4', '11-4', '', '', '', '12-7', '', '13-8', '14-8', '15-8', '16-8', '', '', '', '', '', '']","['', '', '', '3-1', '', '4-2', '', '', '', '', '', '9-3', '9-4', '', '', '11-5', '11-6', '11-7', '', '12-8', '', '', '', '', '', '', '', '', '', '']"
33,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141062/vpprodigy-vs-ec-kyiv,"['1-0', '', '2-1', '3-1', '', '', '', '', '', '4-6', '5-6', '6-6', '', '7-7', '8-7', '', '9-8', '', '10-9', '11-9', '12-9', '', '13-10', '14-10', '', '', '', '', '15-14', '']","['', '1-1', '', '', '3-2', '3-3', '3-4', '3-5', '3-6', '', '', '', '6-7', '', '', '8-8', '', '9-9', '', '', '', '12-10', '', '', '14-11', '14-12', '14-13', '14-14', '', '15-15']"
34,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141061/monte-vs-tag,"['', '', '', '', '1-4', '', '', '', '', '', '2-9', '3-9', '4-9', '5-9', '6-9', '', '7-10', '8-10', '9-10', '', '10-11', '11-11', '', '', '', '12-14', '', '', '', '']","['0-1', '0-2', '0-3', '0-4', '', '1-5', '1-6', '1-7', '1-8', '1-9', '', '', '', '', '', '6-10', '', '', '', '9-11', '', '', '11-12', '11-13', '11-14', '', '12-15', '12-16', '', '']"
35,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141056/tag-vs-monte,"['', '1-1', '2-1', '3-1', '', '4-2', '5-2', '6-2', '7-2', '', '', '', '8-5', '9-5', '', '', '', '', '10-9', '11-9', '12-9', '13-9', '14-9', '', '', '', '', '15-13', '', '']","['0-1', '', '', '', '3-2', '', '', '', '', '7-3', '7-4', '7-5', '', '', '9-6', '9-7', '9-8', '9-9', '', '', '', '', '', '14-10', '14-11', '14-12', '14-13', '', '15-14', '15-15']"
36,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141055/oddik-vs-meta-br,"['', '', '1-2', '2-2', '3-2', '', '', '', '', '4-6', '', '', '', '', '5-10', '6-10', '7-10', '8-10', '9-10', '10-10', '', '', '', '', '', '', '', '', '', '']","['0-1', '0-2', '', '', '', '3-3', '3-4', '3-5', '3-6', '', '4-7', '4-8', '4-9', '4-10', '', '', '', '', '', '', '10-11', '10-12', '10-13', '10-14', '10-15', '10-16', '', '', '', '']"
37,26/7/22,https://www.hltv.org/stats/matches/mapstatsid/141054/meta-br-vs-oddik,"['', '', '', '1-3', '', '', '2-5', '3-5', '4-5', '5-5', '6-5', '7-5', '8-5', '9-5', '10-5', '', '', '', '', '', '11-10', '', '', '', '', '', '', '', '', '']","['0-1', '0-2', '0-3', '', '1-4', '1-5', '', '', '', '', '', '', '', '', '', '10-6', '10-7', '10-8', '10-9', '10-10', '', '11-11', '11-12', '11-13', '11-14', '11-15', '11-16', '', '', '']"
38,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141050/oddik-vs-stars-horizon,"['1-0', '2-0', '3-0', '4-0', '', '', '', '', '', '5-5', '6-5', '7-5', '', '', '', '', '', '', '8-11', '9-11', '10-11', '', '11-12', '12-12', '', '13-13', '', '14-14', '15-14', '']","['', '', '', '', '4-1', '4-2', '4-3', '4-4', '4-5', '', '', '', '7-6', '7-7', '7-8', '7-9', '7-10', '7-11', '', '', '', '10-12', '', '', '12-13', '', '13-14', '', '', '15-15']"
39,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141049/stars-horizon-vs-oddik,"['1-0', '2-0', '', '', '3-2', '4-2', '', '', '', '', '5-6', '6-6', '7-6', '8-6', '9-6', '', '', '', '', '', '', '', '10-13', '', '11-14', '12-14', '13-14', '', '', '']","['', '', '2-1', '2-2', '', '', '4-3', '4-4', '4-5', '4-6', '', '', '', '', '', '9-7', '9-8', '9-9', '9-10', '9-11', '9-12', '9-13', '', '10-14', '', '', '', '13-15', '13-16', '']"
40,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141048/big-academy-vs-apeks-rebels,"['', '', '', '', '', '', '', '', '', '', '1-10', '2-10', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '0-7', '0-8', '0-9', '0-10', '', '', '2-11', '2-12', '2-13', '2-14', '2-15', '2-16', '', '', '', '', '', '', '', '', '', '', '', '']"
41,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141047/spirit-academy-vs-prospects,"['1-0', '', '', '', '', '', '', '', '', '2-8', '3-8', '4-8', '5-8', '', '', '', '', '6-12', '7-12', '', '', '', '', '', '', '', '', '', '', '']","['', '1-1', '1-2', '1-3', '1-4', '1-5', '1-6', '1-7', '1-8', '', '', '', '', '5-9', '5-10', '5-11', '5-12', '', '', '7-13', '7-14', '7-15', '7-16', '', '', '', '', '', '', '']"
42,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141046/mouz-nxt-vs-eternal-fire-academy,"['1-0', '2-0', '3-0', '', '', '', '', '4-4', '', '', '', '', '', '', '', '', '', '', '', '5-15', '6-15', '7-15', '', '', '', '', '', '', '', '']","['', '', '', '3-1', '3-2', '3-3', '3-4', '', '4-5', '4-6', '4-7', '4-8', '4-9', '4-10', '4-11', '4-12', '4-13', '4-14', '4-15', '', '', '', '7-16', '', '', '', '', '', '', '']"
43,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141045/og-academy-vs-young-ninjas,"['', '1-1', '', '2-2', '3-2', '4-2', '5-2', '6-2', '', '', '7-4', '', '8-5', '9-5', '', '10-6', '11-6', '12-6', '', '', '13-8', '', '', '14-10', '15-10', '', '', '16-12', '', '']","['0-1', '', '1-2', '', '', '', '', '', '6-3', '6-4', '', '7-5', '', '', '9-6', '', '', '', '12-7', '12-8', '', '13-9', '13-10', '', '', '15-11', '15-12', '', '', '']"
44,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141042/navi-junior-vs-astralis-talent,"['1-0', '2-0', '3-0', '', '4-1', '', '', '', '', '', '', '5-7', '6-7', '7-7', '8-7', '9-7', '10-7', '11-7', '', '', '', '', '', '12-12', '13-12', '', '', '', '14-15', '15-15']","['', '', '', '3-1', '', '4-2', '4-3', '4-4', '4-5', '4-6', '4-7', '', '', '', '', '', '', '', '11-8', '11-9', '11-10', '11-11', '11-12', '', '', '13-13', '13-14', '13-15', '', '']"
45,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141041/bhop-vs-doing-fun,"['', '', '1-2', '', '', '', '', '2-6', '', '', '', '', '', '3-11', '', '', '', '', '4-15', '5-15', '6-15', '7-15', '8-15', '9-15', '10-15', '11-15', '', '', '', '']","['0-1', '0-2', '', '1-3', '1-4', '1-5', '1-6', '', '2-7', '2-8', '2-9', '2-10', '2-11', '', '3-12', '3-13', '3-14', '3-15', '', '', '', '', '', '', '', '', '11-16', '', '', '']"
46,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141039/doing-fun-vs-bhop,"['1-0', '2-0', '3-0', '4-0', '', '5-1', '', '', '', '6-4', '7-4', '', '', '', '', '8-8', '', '', '', '9-11', '10-11', '11-11', '', '', '', '', '12-15', '13-15', '14-15', '']","['', '', '', '', '4-1', '', '5-2', '5-3', '5-4', '', '', '7-5', '7-6', '7-7', '7-8', '', '8-9', '8-10', '8-11', '', '', '', '11-12', '11-13', '11-14', '11-15', '', '', '', '14-16']"
47,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141037/bhop-vs-doing-fun,"['', '1-1', '', '2-2', '3-2', '4-2', '', '', '', '5-5', '6-5', '7-5', '8-5', '9-5', '', '10-6', '11-6', '12-6', '', '13-7', '14-7', '15-7', '16-7', '', '', '', '', '', '', '']","['0-1', '', '1-2', '', '', '', '4-3', '4-4', '4-5', '', '', '', '', '', '9-6', '', '', '', '12-7', '', '', '', '', '', '', '', '', '', '', '']"
48,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141040/daotsu-vs-oddik,"['1-0', '2-0', '3-0', '', '', '', '', '', '', '4-6', '5-6', '6-6', '7-6', '8-6', '9-6', '', '', '', '', '', '', '10-12', '', '', '', '', '', '', '', '']","['', '', '', '3-1', '3-2', '3-3', '3-4', '3-5', '3-6', '', '', '', '', '', '', '9-7', '9-8', '9-9', '9-10', '9-11', '9-12', '', '10-13', '10-14', '10-15', '10-16', '', '', '', '']"
49,25/7/22,https://www.hltv.org/stats/matches/mapstatsid/141038/daotsu-vs-oddik,"['', '1-1', '2-1', '3-1', '4-1', '', '', '5-3', '6-3', '', '', '', '7-6', '8-6', '9-6', '10-6', '11-6', '12-6', '13-6', '', '14-7', '', '15-8', '16-8', '', '', '', '', '', '']","['0-1', '', '', '', '', '4-2', '4-3', '', '', '6-4', '6-5', '6-6', '', '', '', '', '', '', '', '13-7', '', '14-8', '', '', '', '', '', '', '', '']"
